Date,Type,Confirmation Code,Start Date,Nights,Currency,Amount,Paid Out,Host Fee,Cleaning Fee,Earnings Year
01/25/2020,Payout,,,,PHP,,300,,,
01/25/2020,Resolution Payout,HM8KH9BBDY,01/23/2020,2,PHP,300,,,,2020
01/24/2020,Payout,,,,PHP,,2861.5,,,
01/24/2020,Reservation,HM8KH9BBDY,01/23/2020,2,PHP,2861.5,,88.5,350,2020
01/22/2020,Payout,,,,PHP,,2910,,,
01/22/2020,Reservation,HM4YNBM39P,01/21/2020,2,PHP,2910,,90,500,2020
01/20/2020,Payout,,,,PHP,,3438.13,,,
01/20/2020,Resolution Payout,HMZ98XHBHD,01/19/2020,2,PHP,500,,,,2020
01/20/2020,Reservation,HMZ98XHBHD,01/19/2020,2,PHP,2938.13,,90.87,500,2020
01/18/2020,Payout,,,,PHP,,2851.8,,,
01/18/2020,Reservation,HMXQ4TYWNX,01/17/2020,2,PHP,2851.8,,88.2,500,2020
01/14/2020,Payout,,,,PHP,,4985.8,,,
01/14/2020,Reservation,HMBE5AXAD8,01/13/2020,4,PHP,4985.8,,154.2,350,2020
01/11/2020,Payout,,,,PHP,,2812.03,,,
01/11/2020,Reservation,HMTXHQDR8N,01/10/2020,2,PHP,2812.03,,86.97,500,2020
01/06/2020,Payout,,,,PHP,,6566.9,,,
01/06/2020,Reservation,HM5HCQFACB,01/05/2020,5,PHP,6566.9,,203.1,350,2020
01/05/2020,Payout,,,,PHP,,2822.7,,,
01/05/2020,Reservation,HM2FZDSRN9,01/03/2020,2,PHP,2822.7,,87.3,350,2020
01/01/2020,Payout,,,,PHP,,3893.25,,,
01/01/2020,Resolution Payout,HMAEPBPS3F,12/31/2019,3,PHP,280,,,,2020
01/01/2020,Reservation,HMAEPBPS3F,12/31/2019,3,PHP,3613.25,,111.75,350,2020
12/30/2019,Payout,,,,PHP,,2298.9,,,
12/30/2019,Reservation,HMF8QMW4Z3,12/29/2019,2,PHP,2298.9,,71.1,350,2019
12/28/2019,Payout,,,,PHP,,2666.53,,,
12/28/2019,Reservation,HMAFKZBY5E,12/27/2019,2,PHP,2666.53,,82.47,350,2019
12/26/2019,Payout,,,,PHP,,2696.6,,,
